PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Renaldo Major,GSW,25,1,0,1,27.4,5,20.0,0.0,50.0,0,2,2,0,1,2,0,4,0,0,15,2006-07,1,0
Steven Smith,PHI,24,8,0,8,28.1,5,25.0,0.0,50.0,1,5,6,0,2,1,0,4,0,0,-13,2006-07,10,1
Randolph Morris,NYK,21,5,1,4,43.6,4,16.7,0.0,33.3,1,8,9,1,2,2,1,4,0,0,-12,2006-07,4,0
James Augustine,ORL,23,2,2,0,7.3,2,33.3,0.0,0.0,1,2,3,2,0,0,0,2,0,0,-1,2006-07,2,0
Mike Hall,WAS,23,2,0,2,12.8,2,25.0,0.0,0.0,1,1,2,1,0,0,0,1,0,0,-3,2006-07,1,0
Roger Powell,UTA,24,3,3,0,13.3,2,0.0,0.0,100.0,3,0,3,0,3,0,0,2,0,0,-10,2006-07,1,0
Chris McCray,MIL,23,5,1,4,11.8,0,0.0,0.0,0.0,0,0,0,0,2,0,0,1,0,0,-2,2006-07,1,0
Mile Ilic,NJN,23,5,3,2,5.9,0,0.0,0.0,0.0,0,1,1,0,3,0,0,1,0,0,-17,2006-07,1,0
Will Conroy,LAC,24,7,1,6,51.4,0,0.0,0.0,0.0,3,4,7,9,2,0,0,7,0,0,-11,2006-07,3,0
Chris Paul,NOK,21,78,35,43,2808.5,1258,43.0,28.2,84.7,61,339,400,611,183,175,6,218,21,2,-181,2005-06,17,1
Charlie Villanueva,TOR,21,81,26,55,2361.0,1053,46.3,32.7,70.6,181,340,521,88,99,60,63,247,12,0,-37,2005-06,11,1
Raymond Felton,CHA,22,80,26,54,2405.7,948,39.1,35.8,72.5,77,188,265,446,182,102,8,181,13,0,-117,2005-06,14,1
Deron Williams,UTA,22,80,39,41,2306.6,864,42.1,41.6,70.4,35,159,194,359,145,60,17,233,5,0,-103,2005-06,12,1
